Track,for,Bertha,2014,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/31/2014,11:53:59,10.987,N,51.379,W
7/31/2014,11:56:00,10.991,N,51.386,W
7/31/2014,11:57:59,10.996,N,51.393,W
7/31/2014,12:00:00,11,N,51.4,W
7/31/2014,12:02:00,11.004,N,51.407,W
7/31/2014,12:03:59,11.009,N,51.414,W
7/31/2014,12:06:00,11.013,N,51.421,W
7/31/2014,12:07:59,11.017,N,51.428,W
7/31/2014,12:10:00,11.022,N,51.435,W
7/31/2014,12:11:59,11.026,N,51.442,W
7/31/2014,12:14:00,11.031,N,51.449,W
7/31/2014,12:15:59,11.035,N,51.456,W
7/31/2014,12:18:00,11.039,N,51.463,W
7/31/2014,12:19:59,11.044,N,51.47,W
7/31/2014,12:22:00,11.048,N,51.478,W
7/31/2014,12:23:59,11.052,N,51.485,W
7/31/2014,12:26:00,11.057,N,51.492,W
7/31/2014,12:27:59,11.061,N,51.499,W
7/31/2014,12:30:00,11.065,N,51.506,W
7/31/2014,12:32:00,11.07,N,51.513,W
7/31/2014,12:33:59,11.074,N,51.52,W
7/31/2014,12:36:00,11.078,N,51.527,W
7/31/2014,12:37:59,11.083,N,51.534,W
7/31/2014,12:40:00,11.087,N,51.541,W
7/31/2014,12:41:59,11.091,N,51.548,W
7/31/2014,12:44:00,11.096,N,51.555,W
7/31/2014,12:45:59,11.1,N,51.563,W
7/31/2014,12:48:00,11.104,N,51.57,W
7/31/2014,12:49:59,11.109,N,51.577,W
7/31/2014,12:52:00,11.113,N,51.584,W
7/31/2014,12:53:59,11.117,N,51.591,W
7/31/2014,12:56:00,11.121,N,51.598,W
7/31/2014,12:57:59,11.126,N,51.605,W
7/31/2014,13:00:00,11.13,N,51.612,W
7/31/2014,13:02:00,11.134,N,51.62,W
7/31/2014,13:03:59,11.139,N,51.627,W
7/31/2014,13:06:00,11.143,N,51.634,W
7/31/2014,13:07:59,11.147,N,51.641,W
7/31/2014,13:10:00,11.151,N,51.648,W
7/31/2014,13:11:59,11.156,N,51.656,W
7/31/2014,13:14:00,11.16,N,51.663,W
7/31/2014,13:15:59,11.164,N,51.67,W
7/31/2014,13:18:00,11.168,N,51.677,W
7/31/2014,13:19:59,11.173,N,51.685,W
7/31/2014,13:22:00,11.177,N,51.692,W
7/31/2014,13:23:59,11.181,N,51.699,W
7/31/2014,13:26:00,11.185,N,51.706,W
7/31/2014,13:27:59,11.189,N,51.714,W
7/31/2014,13:30:00,11.194,N,51.721,W
7/31/2014,13:32:00,11.198,N,51.728,W
7/31/2014,13:33:59,11.202,N,51.736,W
7/31/2014,13:36:00,11.206,N,51.743,W
7/31/2014,13:37:59,11.21,N,51.75,W
7/31/2014,13:40:00,11.214,N,51.758,W
7/31/2014,13:41:59,11.219,N,51.765,W
7/31/2014,13:44:00,11.223,N,51.773,W
7/31/2014,13:45:59,11.227,N,51.78,W
7/31/2014,13:48:00,11.231,N,51.787,W
7/31/2014,13:49:59,11.235,N,51.795,W
7/31/2014,13:52:00,11.239,N,51.802,W
7/31/2014,13:53:59,11.243,N,51.81,W
7/31/2014,13:56:00,11.247,N,51.817,W
7/31/2014,13:57:59,11.251,N,51.825,W
7/31/2014,14:00:00,11.255,N,51.832,W
7/31/2014,14:02:00,11.26,N,51.84,W
7/31/2014,14:03:59,11.264,N,51.847,W
7/31/2014,14:06:00,11.268,N,51.855,W
7/31/2014,14:07:59,11.272,N,51.862,W
7/31/2014,14:10:00,11.276,N,51.87,W
7/31/2014,14:11:59,11.28,N,51.878,W
7/31/2014,14:14:00,11.284,N,51.885,W
7/31/2014,14:15:59,11.288,N,51.893,W
7/31/2014,14:18:00,11.292,N,51.901,W
7/31/2014,14:19:59,11.295,N,51.908,W
7/31/2014,14:22:00,11.299,N,51.916,W
7/31/2014,14:23:59,11.303,N,51.924,W
7/31/2014,14:26:00,11.307,N,51.932,W
7/31/2014,14:27:59,11.311,N,51.939,W
7/31/2014,14:30:00,11.315,N,51.947,W
7/31/2014,14:32:00,11.319,N,51.955,W
7/31/2014,14:33:59,11.323,N,51.963,W
7/31/2014,14:36:00,11.327,N,51.971,W
7/31/2014,14:37:59,11.33,N,51.979,W
7/31/2014,14:40:00,11.334,N,51.986,W
7/31/2014,14:41:59,11.338,N,51.994,W
7/31/2014,14:44:00,11.342,N,52.002,W
7/31/2014,14:45:59,11.346,N,52.01,W
7/31/2014,14:48:00,11.349,N,52.018,W
7/31/2014,14:49:59,11.353,N,52.026,W
7/31/2014,14:52:00,11.357,N,52.034,W
7/31/2014,14:53:59,11.361,N,52.042,W
7/31/2014,14:56:00,11.364,N,52.05,W
7/31/2014,14:57:59,11.368,N,52.058,W
7/31/2014,15:00:00,11.372,N,52.067,W
7/31/2014,15:02:00,11.375,N,52.075,W
7/31/2014,15:03:59,11.379,N,52.083,W
7/31/2014,15:06:00,11.383,N,52.091,W
7/31/2014,15:07:59,11.386,N,52.099,W
