"AL011851,",,,"UNNAMED,","14,",,,,,,,,,,,,,,
"18510625,","0000,",",","HU, 28.0N,","94.8W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510625,","0600,",",","HU, 28.0N,","95.4W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510625,","1200,",",","HU, 28.0N,","96.0W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510625,","1800,",",","HU, 28.1N,","96.5W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510625,","2100,","L,","HU, 28.2N,","96.8W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510626,","0000,",",","HU, 28.2N,","97.0W,","70,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510626,","0600,",",","TS, 28.3N,","97.6W,","60,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510626,","1200,",",","TS, 28.4N,","98.3W,","60,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510626,","1800,",",","TS, 28.6N,","98.9W,","50,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510627,","0000,",",","TS, 29.0N,","99.4W,","50,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510627,","0600,",",","TS, 29.5N,","99.8W,","40,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510627,","1200,",",","TS, 30.0N,","100.0W,","40,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510627,","1800,",",","TS, 30.5N,","100.1W,","40,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"18510628,","0000,",",","TS, 31.0N,","100.2W,","40,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"AL021851,",,,"UNNAMED,","1,",,,,,,,,,,,,,,
"18510705,","1200,",",","HU, 22.2N,","97.6W,","80,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"AL031851,",,,"UNNAMED,","1,",,,,,,,,,,,,,,
"18510710,","1200,",",","TS, 12.0N,","60.0W,","50,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,","-999,"
"AL041851,",,,"UNNAMED,","49,",,,,,,,,,,,,,,
